time,ehux,bacteria,sytox+,dmsp,d7_present,exp
2,1175993.8552788401,3478159.8513011201,67313.523347483293,,1,5
2,1199150.62978909,3483217.96288756,68176.641781601895,,1,5
2,1234330.79849779,3602401.60106738,55802.668823291497,,1,5
3,1945851.5865331199,4391856.6208456596,124285.06352179,,1,5
3,2076896.3664124401,4762870.4696236597,108744.110643903,,1,5
3,2006756.0273650901,4617790.1320361402,107419.599898709,,1,5
4,3599374.2343828198,5808580.8580858102,129304.44697833501,,1,5
4,3235246.2307805601,6134174.2123991102,111826.26764310899,,1,5
4,3391053.75382037,5803871.5660136798,125167.929837013,,1,5
5,5248682.8525346704,9039114.9054795709,408431.07947204402,,1,5
5,5257173.6555639897,7976304.5561460098,412049.47533836903,,1,5
5,5182478.8936216896,7922559.7032228196,386888.15622622397,,1,5
6,5772078.4838930303,22466562.4457183,856056.57364458998,,1,5
6,5244270.6231731996,20581849.761181101,753480.58732533699,,1,5
6,5647971.01537624,23564230.279161401,724583.35443999805,,1,5
7,5026789.4479980301,46403246.847369201,1479832.8902392699,,1,5
7,4547278.6133048702,48023660.403618596,1406378.02842547,,1,5
7,4806534.3701909101,51052509.562999897,1461906.57045196,,1,5
8,4193500.5640048101,77511579.434923604,2337635.6106608398,,1,5
8,4079981.4818460699,75948048.942755505,2092747.4532461599,,1,5
8,3995759.33592777,85065492.059812203,2147861.99209646,,1,5
9,2363275.10537573,118934521.055067,2549897.39302273,,1,5
9,2525428.1184906,109189439.55535001,2611082.9446359798,,1,5
9,2027704.52016492,129123639.731419,2591561.77982627,,1,5
10,1946647.6564363299,112803613.829849,2716271.7540210099,,1,5
10,2093867.20197592,102904717.853839,2594388.9198924499,,1,5
10,1510023.98746775,123193296.735048,2627418.6176425801,,1,5
11,20405.574787808699,138901990.32360899,3045764.3868940501,,1,5
11,84501.902714911004,169514647.503694,2360189.5734597198,,1,5
11,10230.550707054899,171992121.87916401,4661206.0658315197,,1,5
